Product Description,Price_before_discount,Price_after_discount,Discount,Rating,Number of Reviews,Dispatchment
"Lenovo IdeaPad 330 Laptop Brand New 15.6"" Intel Celeron 4GB RAM 1TB HDD WIN 10+16GB Flash Disk+Bag Black 15.6 Inch","KSh 37,999","KSh 31,999",15.0,4,20,Local Dispatch
"Refurbished Hp 215  11.6"" screen A4 4GB RAM 320GB HDD HP Laptop Notebook silver&black 11.6 inches","KSh 21,999","KSh 18,999",13.0,4,2,Local Dispatch
"Refurbished ASUS 1215n 11.6"" 2GB RAM 250GB HDD ASUS Laptop Notebook silver & black 11.6inch","KSh 15,999","KSh 12,999",18.0,4,6,Local Dispatch
"Refurbished Dell Latitude E7440 Laptop 14"" Core i3 4GB RAM 500GB HDD NO OS Dell Laptop black 14 inches","KSh 30,000","KSh 23,999",20.0,4,9,Local Dispatch
"HP 15 Notebook 15.6"" Laptop Intel Celeron 4GB RAM 500GB HDD Windos 10 &FREE Bag+16GB Flashdisk black 15.6 inch","KSh 36,999","KSh 32,999",10.0,4,6,Local Dispatch
"DELL Refurbished notbook 3150 11.6"" intel Celeron 4GB RAM 250GB HDD OS Installed dell laptop black 11.6 inch","KSh 25,000","KSh 16,999",32.0,4,28,Local Dispatch
14.1 Inch Ultrabook Laptop Intel Quad Core Processor Windows 10 2GB RAM 32GB SSD Notebook PC white 4g ssd+64g SSD,"KSh 49,999","KSh 30,999",38.0,5,24,Oversea Shipment
"HP Refurb 820 Laptop Core i5-4GB RAM-500GB HDD 12.5"" Win Installed HP Laptop Notebook silver one size","KSh 29,999","KSh 26,999",10.0,4,9,Local Dispatch
"HP 15 Notebook 15.6"" Laptop Intel Celeron (N3060) 4GB RAM 500GB HDD Windows 10 Pro +HP2320 Printer black 15.6 inch","KSh 39,999","KSh 33,999",15.0,5,3,Local Dispatch
Lenovo Ideapad s130-11GM 4GB 500GB Win10 home New lenovo laptop black 11.6 inch,"KSh 35,999","KSh 26,999",25.0,5,2,Local Dispatch
"HP Laptop Notebooks 15.6"" Intel Celeron 500GB HDD 4GB RAM+WIND 10+ANTIVIRUS+MS OFFICE+32GB Flashdisk black 15.6 inch","KSh 39,999","KSh 30,999",22.0,5,3,Local Dispatch
"HP Elitebook Folio 9480m Refurbished 14"" Intel Core i5 4GB 500GB HDD Win Installed HP Laptop silver one size","KSh 39,999","KSh 39,999",,5,4,Local Dispatch
"Refurbished ACER CHROMEBOOK CDC CORE 11.5"" 4GB RAM 16GB SSD HP Laptop Notebook windows black 11.5inch","KSh 13,999","KSh 11,999",14.0,5,0,Local Dispatch
"HP 15 Notebook 15.6"" Laptop Intel Celeron 4GB RAM 500GB HDD Windos 10 &FREE Bag+32GB Flashdisk black 15.6 inch","KSh 13,999","KSh 13,999",,5,2,Local Dispatch
"HP 15 Laptop Notebooks 15.6"" Intel Celeron 500GB HDD 4GB RAM+WIND 10+MS OFFICE+ANTI-THEFT BAG black 15.6 inch","KSh 39,999","KSh 32,999",17.0,5,4,Local Dispatch
Lenovo ideapad celeron v130-151KB 4GB 1TB HDD New OS Installed Lenovo laptop silver 15.6 inch,"KSh 37,000","KSh 32,999",10.0,5,5,Local Dispatch
"Hp Pavilion i5 8GB RAM 1TB HDD + 128G SSD 15.6"" X360 Touchscreen Win10 HP Laptop Notebook New black one size","KSh 80,000","KSh 74,999",6.0,5,2,Local Dispatch
"Refurbished HP CHROMEBOOK CDC 14"" 4GB RAM 16GB SSD HP Laptop Notebook windows black 14 inch","KSh 16,999","KSh 13,999",17.0,5,0,Local Dispatch
 Dell latitude 3160 pentium processor 4gb ram 500gb hdd 12 inch touchscreen Laptop Notebook black 12 inch,"KSh 22,999","KSh 19,999",13.0,5,0,Local Dispatch
Hp EliteBook 745 AMD A10 Core i7 4GB Ram 500Gb HDD Hp Laptop Notebook PC Refurbished black 14inch,"KSh 29,999","KSh 24,999",16.0,2,5,Local Dispatch
"FUJITSU T734 Laptop 12.5"" CORE i7 4GB RAM 500GB HDD Refurb Laptop OS Installed Notebook PC silver 12.5 inch","KSh 28,000","KSh 25,999",7.0,5,3,Local Dispatch
"Lenovo X240 Laptop Refurbrished 13.3"" Core i5 4GB RAM 500GB OS Installed Lenovo Laptop Notebook silver 13.3","KSh 28,000","KSh 28,000",,5,3,Local Dispatch
Portable 15.6-inch data marketing laptop office is suitable for business and students silver Quad core e8000 4GB + 64GB,"KSh 29,999","KSh 27,178",9.0,5,3,Oversea Shipment
"Hp Pavilion 2019 Model 8th Gen i3 14"" 8GB RAM 500GB HDD X360 Touchscreen HP Laptop New silver 14 inch","KSh 62,999","KSh 51,999",17.0,4,6,Local Dispatch
13.3 inch Laptop n4100 portable ultra thin learning office notebook Notebooks Silver (neutral without logo) N4100 8G 0 (wholesale without hard disk),"KSh 69,999","KSh 32,802",53.0,5,0,Oversea Shipment
HP 15 core i5 8th gen 4GB 1TB HDD /2GB NVIDIA  New Win10 Pro HP Laptop black 15.6 inch,"KSh 87,999","KSh 59,999",31.0,5,2,Local Dispatch
HP ELITEBOOK 840 Refurbished CORE i5 4GB 500GB hp laptop grey 14 inch,"KSh 29,999","KSh 26,899",10.0,5,1,Local Dispatch
