availability,prices,titles
In stock,£51.77,A Light in the Attic
In stock,£53.74,Tipping the Velvet
In stock,£50.10,Soumission
In stock,£47.82,Sharp Objects
In stock,£54.23,Sapiens: A Brief History of Humankind
In stock,£22.65,The Requiem Red
In stock,£33.34,The Dirty Little Secrets of Getting Your Dream Job
In stock,£17.93,"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull"
In stock,£22.60,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics
In stock,£52.15,The Black Maria
In stock,£13.99,"Starving Hearts (Triangular Trade Trilogy, #1)"
In stock,£20.66,Shakespeare's Sonnets
In stock,£17.46,Set Me Free
In stock,£52.29,Scott Pilgrim's Precious Little Life (Scott Pilgrim #1)
In stock,£35.02,Rip it Up and Start Again
In stock,£57.25,"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991"
In stock,£23.88,Olio
In stock,£37.59,Mesaerion: The Best Science Fiction Stories 1800-1849
In stock,£51.33,Libertarianism for Beginners
In stock,£45.17,It's Only the Himalayas
