,Rank,Country/Territory,US$
0,1,Luxembourg (EU),113196
1,2,Switzerland,83716
2,—,Macau,81151
3,3,Norway,77975
4,4,Ireland (EU),77771
5,5,Qatar,69687
6,6,Iceland,67037
7,7,United States,65111
8,8,Singapore,63987
9,9,Denmark (EU),59795
10,10,Australia,53825
11,11,Netherlands (EU),52367
12,12,Sweden (EU),51241
13,13,Austria (EU),50022
14,—,Hong Kong,49334
15,14,Finland (EU),48868
16,15,San Marino,47279
17,16,Germany (EU),46563
18,17,Canada,46212
19,18,Belgium (EU),45175
20,19,Israel,42823
21,20,France (EU),41760
22,21,United Kingdom,41030
23,22,Japan,40846
24,23,New Zealand,40634
25,24,United Arab Emirates,37749
26,25,Bahamas The,33261
27,26,Italy (EU),32946
28,—,Puerto Rico,31538
29,27,Korea South,31430
30,28,Malta (EU),30650
31,29,Spain (EU),29961
32,30,Kuwait,29266
33,31,Brunei,27871
34,32,Cyprus (EU),27719
35,33,Slovenia (EU),26170
36,—,Aruba,25976
37,34,Bahrain,25273
38,—,Taiwan,24827
39,35,Estonia (EU),23523
40,36,Czechia (EU),23213
41,37,Portugal (EU),23030
42,38,Saudi Arabia,22865
43,39,Greece (EU),19974
44,40,Slovakia (EU),19547
45,41,Lithuania (EU),19266
46,42,Saint Kitts and Nevis,18245
47,43,Latvia (EU),18171
48,44,Antigua and Barbuda,18109
49,45,Barbados,18069
50,46,Oman,17791
51,47,Hungary (EU),17463
52,48,Seychelles,17052
53,49,Uruguay,17029
54,50,Palau,16736
55,51,Trinidad and Tobago,16365
56,52,Panama,16245
57,53,Chile,15399
58,54,Maldives,15562
59,55,Croatia (EU),14949
60,56,Poland (EU),14901
61,57,Romania (EU),12482
62,58,Costa Rica,12014
63,59,Grenada,11381
64,60,Mauritius,11360
65,—, World,11355
66,61,Russia,11162
67,62,Malaysia,11136
68,63,Saint Lucia,11075
69,64,Mexico,10118
70,65,China,10098
71,66,Argentina,9887
72,67,Lebanon,9654
73,68,Bulgaria (EU),9518
74,69,Kazakhstan,9139
75,70,Turkey,8957
76,71,Equatorial Guinea,8927
77,72,Brazil,8796
78,73,Montenegro,8703
79,74,Dominican Republic,8629
80,75,Dominica,8380
81,76,Nauru,8270
82,77,Gabon,8112
83,78,Botswana,7859
84,79,Turkmenistan,7816
85,80,Thailand,7791
86,81,Saint Vincent and the Grenadines,7750
87,82,Serbia,7397
88,83,Peru,7046
89,84,Belarus,6603
90,85,Colombia,6508
91,86,Fiji,6379
92,87,Suriname,6310
93,88,Ecuador,6249
94,89,South Africa,6100
95,90,North Macedonia,6096
96,91,Namibia,5842
97,92,Bosnia and Herzegovina,5741
98,93,Iraq,5738
99,94,Paraguay,5692
100,95,Iran,5506
101,96,Jamaica,5460
102,97,Albania,5372
103,98,Guyana,5252
104,99,Libya,5019
105,100,Belize,4925
106,101,Tonga,4862
107,102,Azerbaijan,4689
108,103,Guatemala,4616
109,104,Armenia,4527
110,105,Samoa,4500
111,—,Kosovo,4442
112,106,Jordan,4386
113,107,Georgia,4289
114,108,Eswatini,4176
115,109,Indonesia,4163
116,110,Mongolia,4132
117,111,El Salvador,4008
118,112,Algeria,3980
119,113,Sri Lanka,3946
120,114,Marshall Islands,3924
121,115,Tuvalu,3834
122,116,Micronesia[6],3717
123,117,Bolivia,3670
124,118,Cape Verde,3598
125,119,Ukraine,3592
126,120,Bhutan,3423
127,121,Morocco,3345
128,122,Moldova,3300
129,123,Philippines,3294
130,124,Tunisia,3287
131,125,Vanuatu,3260
132,126,Egypt,3046
133,127,Angola,3037
134,128,Djibouti,2936
135,129,Papua New Guinea,2742
136,130,Vietnam,2740
137,131,Laos,2670
138,132,Honduras,2548
139,133,Venezuela,2547
140,134,Congo Republic of the,2534
141,135,East Timor,2262
142,136,Solomon Islands,2246
143,137,Ghana,2223
144,138,Nigeria,2222
145,139,India,2171
146,140,Kenya,1997
147,141,São Tomé and Príncipe,1933
148,142,Nicaragua,1919
149,143,Bangladesh,1905
150,144,Uzbekistan,1831
151,145,Côte d'Ivoire,1691
152,146,Cambodia,1620
153,147,Kiribati,1574
154,148,Cameroon,1514
155,149,Senegal,1427
156,150,Mauritania,1392
157,151,Pakistan,1388
158,152,Comoros,1349
159,153,Lesotho,1338
160,154,Zambia,1307
161,155,Kyrgyzstan,1292
162,156,Myanmar,1244
163,157,Benin,1216
164,158,Tanzania,1104
165,159,Nepal,1047
166,160,Guinea,981
167,161,Ethiopia,953
168,162,Yemen,943
169,163,Mali,924
170,164,Tajikistan,877
171,165,Chad,861
172,166,Zimbabwe,859
173,167,Rwanda,824
174,168,Guinea-Bissau,786
175,169,Haiti,784
176,170,Uganda,770
177,171,Gambia The,755
178,172,Burkina Faso,717
179,173,Sudan,714
180,174,Liberia,703
181,175,Togo,671
182,176,Sierra Leone,546
183,177,Afghanistan,513
184,178,Congo Democratic Republic of the,500
185,179,Mozambique,484
186,180,Madagascar,463
187,181,Central African Republic,447
188,182,Niger,405
189,183,Malawi,370
190,184,Eritrea,342
191,185,Burundi,309
192,186,South Sudan,275
